FEMALE,NONWHITE,UNION,EDUC,AGE,EXPER,WAGE,LNWAGE
0,0,0,7,34,21,22.857142857,3.1292636662
1,0,1,12,51,33,17.571428571,2.8662742063
0,0,0,16,30,8,20.175,3.0044442142
1,0,1,16,31,9,14,2.6390573296
1,0,0,12,56,38,8,2.0794415417
0,0,1,16,44,22,14.425,2.6689628124
0,0,0,16,35,13,34.622222222,3.5444957367
1,0,0,12,53,35,10,2.302585093
0,0,0,16,44,22,32.05,3.4672971834
1,0,0,16,49,27,8,2.0794415417
0,0,0,12,47,29,17,2.8332133441
0,0,0,16,28,6,20.2,3.0056826044
0,1,0,20,37,11,16.25,2.7880929088
0,0,0,12,41,23,12,2.4849066498
1,1,0,12,28,10,7.5,2.0149030205
1,1,0,12,59,41,7,1.9459101491
1,0,0,16,41,19,9,2.1972245773
0,0,0,12,48,30,15,2.7080502011
0,0,0,12,49,31,24.6,3.2027464429
0,0,0,16,55,33,21.625,3.0738500528
1,0,1,11,25,8,7.38,1.9987736386
1,1,0,16,54,32,5.5,1.7047480922
1,0,0,16,39,17,19.225,2.9562115154
1,1,1,12,41,23,6.725,1.9058319255
1,0,1,12,44,26,10.2,2.3223877203
0,0,1,12,34,16,13,2.5649493575
1,0,0,16,45,23,21.971428571,3.089742908
0,0,0,12,28,10,11,2.3978952728
1,0,0,10,39,23,10,2.302585093
1,0,0,12,64,46,16.108108108,2.7793227544
1,0,0,7,65,52,5.05,1.6193882433
0,0,0,14,31,11,26.488888889,3.2767253579
1,0,0,12,21,3,5,1.6094379124
0,0,0,12,20,2,5.5,1.7047480922
0,0,1,12,45,27,11.4,2.4336133554
1,0,0,14,53,33,7,1.9459101491
0,0,1,18,50,26,48.075,3.8727622915
0,0,0,20,40,14,44,3.7841896339
1,0,0,18,33,9,12.025,2.486987816
0,0,0,18,39,15,18.46,2.9156062291
0,0,0,12,23,5,6.5,1.8718021769
0,1,1,12,37,19,16,2.7725887222
0,1,0,12,46,28,18,2.8903717579
1,1,0,12,25,7,6.5,1.8718021769
1,0,0,12,60,42,4.45,1.4929040962
0,0,0,12,33,15,5,1.6094379124
1,0,0,12,40,22,20.675,3.0289252409
0,0,0,12,21,3,5,1.6094379124
0,0,1,16,28,6,7.5,2.0149030205
1,0,1,12,57,39,12.5,2.5257286443
1,0,0,12,24,6,2.5,0.9162907319
0,0,1,12,39,21,17,2.8332133441
0,1,0,12,22,4,7,1.9459101491
0,0,0,16,47,25,13,2.5649493575
0,1,1,12,36,18,14.45,2.6706944146
0,1,0,11,18,1,4.5,1.5040773968
1,0,0,12,44,26,8.15,2.0980179273
0,0,0,9,50,35,9.6,2.2617630985
1,0,0,12,44,26,7,1.9459101491
0,0,0,16,44,22,16,2.7725887222
0,1,0,16,41,19,38.46,3.6496187402
0,0,1,16,64,42,31.25,3.4420193762
1,0,0,18,33,9,14.4,2.6672282066
0,0,0,12,37,19,14.375,2.6654905867
1,0,0,16,35,13,14.9,2.701361213
0,0,0,16,35,13,18.275,2.9055340056
1,0,0,12,62,44,11.25,2.4203681287
0,0,1,14,41,21,18,2.8903717579
0,0,0,18,41,17,20.175,3.0044442142
0,0,1,12,35,17,10.38,2.3398808777
0,0,0,12,21,3,6.5,1.8718021769
1,0,0,12,49,31,7.5,2.0149030205
0,0,0,12,19,1,8,2.0794415417
0,0,0,14,30,10,11.25,2.4203681287
0,0,0,20,44,18,65,4.1743872699
0,0,0,12,32,14,5.75,1.7491998548
